SGL.Plot,Sum of Ba/Tree,Sum of Ba/HC,Trees.per.plot,Trees.per.Hect
176-1,0.051631898,5.673834895,3,329.6703297
176-2,0.374811007,41.18802275,8,879.1208791
176-3,0.638008655,70.11084122,9,989.010989
176-4,0.097728422,10.73938698,2,219.7802198
176-5,0.318490059,34.99890763,6,659.3406593
176-6,0.606481521,66.64632099,8,879.1208791
176-7,0.032429354,3.563665329,1,109.8901099
176-8,0.31793164,34.93754286,5,549.4505495
176-9,0.139568076,15.33715124,5,549.4505495
33-1,0.336278882,36.95372335,5,549.4505495
33-2,0.131461893,14.44636192,3,329.6703297
33-3,0.151977162,16.70078703,3,329.6703297
33-4,0.236690162,26.00990796,5,549.4505495
33-5,0.317813822,34.92459584,5,549.4505495
33-6,0,0,0,0
33-7,0.471780324,51.84399162,9,989.010989
33-8,0.196544072,21.59824971,4,439.5604396
33-9,0.436507334,47.96783894,7,769.2307692
33-10,0.58761037,64.57256809,3,329.6703297
33-11,0,0,0,0
33-12,0.23531012,25.85825499,5,549.4505495
103-1,0.19316241,21.22663844,6,659.3406593
103-2,0.099314898,10.91372507,1,109.8901099
103-3,0.237534888,26.10273489,5,549.4505495
103-4,0.06101279,6.704702223,4,439.5604396
103-5,0.621221633,68.26611355,4,439.5604396
103-6,0.134717265,14.80409502,5,549.4505495
103-7,0.366786134,40.30616852,3,329.6703297
103-8,0.474319846,52.12306002,10,1098.901099
103-9,0.135321616,14.87050723,6,659.3406593